codigo_articulo,categoria,existencias_iniciales,total_entradas,total_salidas,existencias_actuales,tasa_rotacion,tiene_precio,tiene_proveedor,frecuencia_salidas,frecuencia_entradas,necesita_reposicion,origen
0277CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0178,Frutos secos,0.0,0.0,0.22,-0.22,0.0,0,0,4,1,1,sintetico
0103AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0973,Limpieza,34.0,0.0,0.37,33.63,0.0109,0,0,2,6,0,sintetico
0109AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0544VA,Vacuno,4.0,0.0,1.0,3.0,0.25,0,0,1,0,1,real
0503AV,Aves,2.0,2.0,0.0,4.0,0.0,1,0,0,2,1,real
0581LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0643LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0135,"Condimentos, Salsas, cremas",0.0,5.0,11.64,-6.64,2.328,0,1,1,0,1,sintetico
SINT0193,Harina,7.0,2.0,5.08,3.65,0.5818,0,0,4,4,1,sintetico
SINT0891,Instantaneo,7.0,6.0,2.34,10.52,0.182,0,0,3,3,0,sintetico
SINT0942,Cerdo,22.0,0.0,0.74,21.26,0.0336,0,0,4,2,0,sintetico
SINT0342,Menestras,2.0,4.0,9.31,-3.31,1.5517,0,0,5,1,1,sintetico
0131CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0375IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0071,Menestras,0.0,10.0,19.86,-9.86,1.986,0,0,4,1,1,sintetico
SINT0166,"Condimentos, Salsas, cremas",4.0,7.0,7.69,3.8,0.6695,0,0,4,1,1,sintetico
SINT0668,Menestras,33.0,8.0,6.13,34.87,0.1495,0,0,6,5,0,sintetico
SINT0320,Vacuno,0.0,0.0,0.96,-0.96,0.0,0,1,2,2,1,sintetico
SINT0455,Menestras,0.0,12.0,5.18,6.82,0.4317,0,0,5,2,0,sintetico
0563LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0334GE,"Gelatina, postres",5.0,0.0,0.0,5.0,0.0,0,0,0,0,0,real
0540VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0173,Menestras,0.0,6.0,9.6,-3.6,1.6,0,0,6,1,1,sintetico
SINT0741,Azucar,14.0,0.0,2.18,12.02,0.1536,0,0,0,4,0,sintetico
SINT0897,Limpieza,23.0,7.0,1.75,28.25,0.0583,0,0,1,1,0,sintetico
0624LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0800,Vacuno,4.0,7.0,2.43,8.37,0.225,0,0,1,4,0,sintetico
SINT0008,Conserva,0.0,0.0,0.45,-0.45,0.0,0,0,5,2,1,sintetico
0489PE,Pescado,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0931,"Gelatina, postres",33.0,7.0,2.1,37.9,0.0525,0,0,1,4,0,sintetico
SINT0218,Harina,0.0,5.0,12.7,-7.7,2.54,0,1,2,1,1,sintetico
SINT0211,Aves,0.0,0.0,0.19,-0.19,0.0,0,0,5,3,1,sintetico
SINT0847,"Condimentos, Salsas, cremas",7.0,4.0,2.99,7.91,0.2743,0,0,1,2,0,sintetico
SINT0134,Frutos secos,0.0,2.0,5.57,-3.57,2.785,0,0,6,2,1,sintetico
0229IN,Instantaneo,0.0,68.0,0.0,68.0,0.0,0,0,0,1,0,real
0234HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0656LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0766,Cereal,22.0,6.0,4.1,23.9,0.1464,0,0,6,2,0,sintetico
SINT0788,"Mermelada, mantequilla",7.0,3.0,1.27,8.73,0.127,0,0,1,2,0,sintetico
0166CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0431MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0096,Vacuno,0.0,5.0,6.85,-1.85,1.37,0,0,4,3,1,sintetico
0269CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0151CR,Cereal,7.0,0.0,0.0,7.0,0.0,0,0,0,0,0,real
0429MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0786,"Mermelada, mantequilla",31.0,2.0,1.38,31.62,0.0418,0,0,4,5,0,sintetico
0605LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0374,Limpieza,0.0,0.0,2.27,-2.27,0.0,0,0,6,0,1,sintetico
0308CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0195AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0311CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0608LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0065ME,Menestras,4.0,7.0,14.75,-3.75,1.3409090909090908,1,1,5,7,1,real
SINT0514,Azucar,7.0,5.0,1.97,10.03,0.1642,1,0,3,2,0,sintetico
SINT0614,Limpieza,49.0,5.0,2.0,52.0,0.037,0,1,1,4,0,sintetico
SINT0056,Limpieza,0.0,3.0,4.03,-1.03,1.3433,0,0,5,1,1,sintetico
SINT0950,Conserva,10.0,0.0,0.49,9.55,0.0488,0,0,3,2,0,sintetico
SINT0472,Infusion,23.0,2.0,1.26,23.74,0.0504,0,0,3,4,0,sintetico
0398LA,Lacteos,0.0,5.0,0.0,5.0,0.0,0,0,0,2,0,real
SINT0381,Aves,0.0,3.0,7.88,-4.88,2.6267,0,1,8,1,1,sintetico
0387IN,Infusion,2.0,0.0,0.0,2.0,0.0,0,0,0,0,1,real
SINT0882,Menestras,10.0,0.0,3.32,6.68,0.332,0,0,4,5,0,sintetico
0221IN,Instantaneo,9.0,0.0,0.0,9.0,0.0,0,0,0,0,0,real
0599LI,Limpieza,48.0,0.0,0.0,48.0,0.0,0,0,0,0,0,real
0289CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0484PE,Pescado,0.0,40.0,5.0,35.0,0.125,0,0,1,1,0,real
SINT0624,Harina,8.0,3.0,2.81,8.19,0.2555,0,0,5,6,0,sintetico
0550VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0365IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0986,Cereal,5.0,5.0,3.55,6.45,0.355,1,0,2,1,0,sintetico
SINT0402,Conserva,7.0,0.0,1.27,5.73,0.1814,0,0,0,1,0,sintetico
SINT0106,Cereal,0.0,5.0,5.88,-0.88,1.176,0,1,4,0,1,sintetico
SINT0414,"Condimentos, Salsas, cremas",31.0,7.0,5.68,32.32,0.1495,0,0,6,5,0,sintetico
SINT0203,Fideos,0.0,10.0,9.93,0.07,0.993,0,1,6,0,1,sintetico
SINT0579,Menestras,37.0,4.0,1.38,39.62,0.0337,0,0,0,4,0,sintetico
SINT0376,Snacks,0.0,1.0,2.47,-1.47,2.47,0,0,6,5,1,sintetico
SINT0580,Cerdo,48.0,0.0,0.41,47.59,0.0085,0,0,3,2,0,sintetico
0589LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0660LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0861,Aves,5.0,9.0,2.99,11.01,0.2136,0,1,2,4,0,sintetico
0620LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0167,Menestras,0.0,8.0,14.88,-6.88,1.86,0,1,3,3,1,sintetico
SINT0816,Menestras,2.0,6.0,2.25,5.62,0.2858,0,0,10,2,0,sintetico
0561LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0245,Frutos secos,0.0,7.0,10.91,-3.91,1.5586,0,0,2,2,1,sintetico
SINT0169,Conserva,0.0,4.0,5.71,-1.71,1.4275,0,0,3,0,1,sintetico
SINT0799,Menestras,30.0,4.0,2.4,31.6,0.0706,0,0,5,3,0,sintetico
SINT0600,Limpieza,8.0,3.0,2.23,8.77,0.2027,0,0,3,6,0,sintetico
0582LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0680,Vacuno,11.0,2.0,1.89,10.74,0.1496,0,0,0,5,0,sintetico
SINT0375,"Condimentos, Salsas, cremas",4.0,0.0,0.4,3.89,0.0933,0,1,5,1,1,sintetico
SINT0434,Menestras,50.0,5.0,1.58,53.42,0.0287,0,0,2,4,0,sintetico
0280CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0909,Snacks,12.0,0.0,0.1,11.9,0.0083,0,0,3,6,0,sintetico
SINT0592,Aves,13.0,6.0,1.17,17.83,0.0616,0,1,3,1,0,sintetico
SINT0426,"Condimentos, Salsas, cremas",18.0,6.0,3.83,20.17,0.1596,0,0,2,3,0,sintetico
SINT0408,Lacteos,31.0,2.0,2.46,30.54,0.0745,0,0,1,2,0,sintetico
0239HA,Harina,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,real
SINT0010,Limpieza,9.0,4.0,9.93,3.07,0.7638,0,0,5,4,1,sintetico
SINT0123,Limpieza,0.0,0.0,0.71,-0.71,0.0,1,0,4,2,1,sintetico
SINT0273,"Mermelada, mantequilla",4.0,0.0,0.95,3.5,0.2136,1,0,5,4,1,sintetico
SINT0694,"Mermelada, mantequilla",39.0,3.0,1.96,40.04,0.0467,0,0,1,2,0,sintetico
SINT0014,Menestras,0.0,7.0,13.62,-6.62,1.9457,0,1,6,2,1,sintetico
SINT0443,Vacuno,46.0,3.0,1.32,47.68,0.0269,0,0,5,7,0,sintetico
0211IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0863,Snacks,10.0,4.0,2.34,11.66,0.1671,0,0,3,5,0,sintetico
SINT0283,Limpieza,0.0,0.0,0.36,-0.36,0.0,0,0,3,1,1,sintetico
0533VA,Vacuno,10.0,0.0,2.0,8.0,0.2,0,1,1,0,0,real
0060ME,Menestras,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,real
SINT0362,Cereal,7.0,10.0,17.87,-0.87,1.0512,0,0,5,3,1,sintetico
SINT0663,"Condimentos, Salsas, cremas",28.0,4.0,3.55,28.45,0.1109,0,0,4,5,0,sintetico
0567LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0350,Infusion,0.0,0.0,1.68,-1.68,0.0,0,0,4,2,1,sintetico
SINT0850,"Condimentos, Salsas, cremas",12.0,0.0,0.23,11.77,0.0192,0,0,5,3,0,sintetico
0367IN,Infusion,9.0,0.0,0.0,9.0,0.0,0,0,0,0,0,real
SINT0802,"Gelatina, postres",12.0,8.0,5.33,14.67,0.2665,0,0,3,5,0,sintetico
0358FI,Fideos,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,real
SINT0827,"Mermelada, mantequilla",7.0,3.0,3.72,6.28,0.372,0,0,4,8,0,sintetico
SINT0419,Aceite,41.0,0.0,0.65,40.35,0.0159,0,0,2,2,0,sintetico
SINT0812,Limpieza,23.0,6.0,2.62,26.38,0.0903,0,0,4,3,0,sintetico
SINT0830,Conserva,12.0,3.0,2.01,12.99,0.134,0,0,3,4,0,sintetico
SINT0032,Limpieza,0.0,0.0,0.56,-0.56,0.0,0,0,3,4,1,sintetico
0295CN,"Condimentos, Salsas, cremas",6.0,0.0,0.0,6.0,0.0,0,0,0,0,0,real
SINT0542,Conserva,38.0,3.0,2.31,38.69,0.0563,0,0,0,2,0,sintetico
SINT0616,Limpieza,28.0,0.0,1.39,26.61,0.0496,0,0,3,2,0,sintetico
0594LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0532,"Mermelada, mantequilla",32.0,4.0,1.43,34.57,0.0397,0,0,5,4,0,sintetico
SINT0835,Limpieza,32.0,0.0,1.21,30.79,0.0378,0,0,10,2,0,sintetico
0560VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0236HA,Harina,5.0,0.0,0.0,5.0,0.0,0,0,0,0,0,real
0602LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0739,Limpieza,33.0,3.0,0.7,35.3,0.0194,0,0,2,4,0,sintetico
0199AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0809,Fideos,7.0,5.0,2.18,9.8,0.182,0,0,1,2,0,sintetico
SINT0982,Aceite,16.0,0.0,0.96,15.04,0.06,0,0,1,3,0,sintetico
SINT0293,"Condimentos, Salsas, cremas",2.0,1.0,1.94,1.06,0.6467,0,0,3,0,1,sintetico
0083ME,Menestras,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,real
SINT0719,Menestras,34.0,2.0,1.44,34.56,0.04,0,1,2,8,0,sintetico
SINT0386,Menestras,0.0,5.0,7.66,-2.66,1.532,0,0,3,2,1,sintetico
SINT0180,"Condimentos, Salsas, cremas",0.0,0.0,0.95,-0.95,0.0,0,0,4,3,1,sintetico
SINT0137,Aves,4.0,0.0,0.46,3.95,0.1044,0,0,2,1,1,sintetico
0384IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0114AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0735,Limpieza,28.0,0.0,0.21,27.79,0.0075,0,0,3,4,0,sintetico
SINT0510,Limpieza,10.0,3.0,1.42,12.0,0.1058,0,1,1,2,0,sintetico
SINT0205,Limpieza,4.0,4.0,4.65,3.54,0.5678,0,0,7,1,1,sintetico
0549VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0953,Limpieza,30.0,5.0,3.83,31.17,0.1094,0,0,4,8,0,sintetico
SINT0896,Aves,31.0,6.0,5.23,31.77,0.1414,0,0,5,3,0,sintetico
SINT0867,Cerdo,26.0,6.0,2.39,29.61,0.0747,0,0,3,2,0,sintetico
SINT0340,Infusion,0.0,4.0,8.39,-4.39,2.0975,0,0,1,0,1,sintetico
0312CN,"Condimentos, Salsas, cremas",3.0,0.0,0.0,3.0,0.0,0,1,0,0,1,real
SINT0868,Snacks,10.0,0.0,2.34,7.17,0.246,1,1,3,1,0,sintetico
SINT0456,Infusion,29.0,2.0,1.14,29.86,0.0368,0,0,1,3,0,sintetico
SINT0186,Lacteos,0.0,4.0,8.96,-4.96,2.24,0,1,2,2,1,sintetico
SINT0368,Menestras,0.0,5.0,11.03,-6.03,2.206,0,0,7,2,1,sintetico
0456SN,Snacks,10.0,7.0,0.0,17.0,0.0,0,0,0,2,0,real
SINT0964,Limpieza,3.0,6.0,2.05,6.95,0.2278,0,1,1,4,0,sintetico
0596LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0999,Aves,9.0,7.0,5.24,10.76,0.3275,0,0,2,3,0,sintetico
0491PE,Pescado,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0648,Infusion,41.0,8.0,5.15,43.85,0.1051,0,0,3,5,0,sintetico
SINT0458,"Gelatina, postres",33.0,2.0,1.14,33.86,0.0326,0,0,4,2,0,sintetico
SINT0417,Azucar,22.0,0.0,0.57,21.43,0.0259,0,0,3,5,0,sintetico
SINT0652,Vacuno,49.0,5.0,4.36,49.64,0.0807,0,1,1,2,0,sintetico
0557VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0190,Limpieza,0.0,0.0,0.74,-0.74,0.0,0,0,6,0,1,sintetico
SINT0345,Harina,0.0,3.0,7.11,-4.11,2.37,0,0,5,2,1,sintetico
0626LI,Limpieza,2.0,0.0,0.0,2.0,0.0,0,0,0,0,1,real
SINT0894,Frutos secos,50.0,6.0,3.86,52.14,0.0689,0,0,1,2,0,sintetico
SINT0703,Menestras,12.0,0.0,1.21,10.5,0.1033,0,0,4,3,0,sintetico
SINT0265,Aceite,4.0,3.0,4.04,3.21,0.5573,0,0,5,2,1,sintetico
SINT0884,Cerdo,8.0,0.0,2.17,5.83,0.2712,1,0,2,4,0,sintetico
SINT0650,Vacuno,9.0,0.0,0.12,9.33,0.0127,0,0,4,5,0,sintetico
SINT0126,Lacteos,0.0,4.0,6.13,-2.13,1.5325,0,0,3,2,1,sintetico
0330CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0257HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0589,Menestras,13.0,0.0,1.25,12.18,0.0931,1,0,2,3,0,sintetico
SINT0910,Limpieza,41.0,5.0,2.74,43.26,0.0596,0,0,3,3,0,sintetico
0476HU,Huevos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0325CN,"Condimentos, Salsas, cremas",5.0,0.0,0.0,5.0,0.0,0,1,0,0,0,real
SINT0036,"Condimentos, Salsas, cremas",0.0,3.0,2.82,0.18,0.94,0,1,5,0,1,sintetico
SINT0825,Cereal,23.0,3.0,2.88,23.12,0.1108,0,0,5,3,0,sintetico
SINT0843,Snacks,12.0,11.0,2.5,20.5,0.1087,0,0,2,6,0,sintetico
SINT0814,Menestras,10.0,2.0,1.71,10.29,0.1425,0,0,3,1,0,sintetico
SINT0727,Instantaneo,12.0,0.0,1.16,11.3,0.0931,0,1,5,3,0,sintetico
0640LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0180CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0684,Menestras,47.0,0.0,0.65,46.35,0.0138,0,0,2,5,0,sintetico
SINT0229,Harina,0.0,0.0,1.06,-1.06,0.0,0,0,4,4,1,sintetico
SINT0040,Limpieza,0.0,3.0,8.19,-5.19,2.73,0,0,5,1,1,sintetico
0088ME,Menestras,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,real
SINT0483,Harina,47.0,4.0,1.44,49.56,0.0282,0,0,2,2,0,sintetico
SINT0052,Frutos secos,0.0,5.0,7.79,-2.79,1.558,0,0,3,2,1,sintetico
SINT0476,Fideos,27.0,6.0,2.51,30.49,0.0761,0,1,3,4,0,sintetico
0369IN,Infusion,18.0,0.0,0.0,18.0,0.0,0,0,0,0,0,real
SINT0121,Fideos,10.0,7.0,13.5,3.44,0.7971,0,0,8,2,1,sintetico
SINT0155,Menestras,0.0,5.0,6.19,-1.19,1.238,1,0,4,2,1,sintetico
0268CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0290CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0871,Vacuno,42.0,3.0,2.62,42.38,0.0582,0,0,3,2,0,sintetico
0362FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0056ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0452,"Gelatina, postres",28.0,4.0,2.02,29.98,0.0631,0,0,3,2,0,sintetico
SINT0019,Menestras,0.0,0.0,0.22,-0.22,0.0,0,0,4,4,1,sintetico
SINT0453,Limpieza,47.0,3.0,2.42,47.58,0.0484,0,0,2,6,0,sintetico
SINT0566,Aves,19.0,7.0,3.56,22.44,0.1369,0,0,1,3,0,sintetico
SINT0699,Limpieza,0.0,7.0,1.96,5.04,0.28,0,1,1,3,0,sintetico
0532VA,Vacuno,27.0,0.0,13.0,14.0,0.48148148148148145,0,1,3,0,0,real
SINT0297,Menestras,0.0,4.0,10.69,-6.69,2.6725,0,0,6,2,1,sintetico
0224IN,Instantaneo,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,real
0116CO,Conserva,1.0,19.0,44.0,-24.0,2.2,1,1,3,5,1,real
SINT0567,Cereal,5.0,0.0,0.07,5.4,0.0128,0,0,2,3,0,sintetico
0538VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0725,"Gelatina, postres",35.0,8.0,3.11,39.89,0.0723,0,0,4,3,0,sintetico
SINT0312,Limpieza,3.0,0.0,1.37,1.63,0.4567,0,0,6,3,1,sintetico
0177CR,Cereal,5.0,0.0,0.0,5.0,0.0,0,0,0,0,0,real
SINT0952,Lacteos,19.0,2.0,2.85,18.15,0.1357,0,0,3,3,0,sintetico
SINT0480,"Condimentos, Salsas, cremas",9.0,0.0,0.99,8.01,0.11,0,0,6,3,0,sintetico
0019ME,Menestras,5.0,0.0,0.0,5.0,0.0,0,1,0,0,0,real
0427MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0582,Cerdo,4.0,4.0,2.3,5.46,0.2964,0,0,4,4,0,sintetico
0288CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0864,Fideos,17.0,5.0,2.68,19.32,0.1218,0,0,5,4,0,sintetico
0432MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0175,Menestras,0.0,2.0,5.34,-3.34,2.67,0,0,4,4,1,sintetico
SINT0994,Harina,38.0,5.0,2.88,40.12,0.067,0,0,1,2,0,sintetico
0032ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0685CUP,Cuidado Personal,0.0,1.0,0.0,1.0,0.0,1,0,0,1,1,real
SINT0421,Limpieza,19.0,9.0,2.17,25.83,0.0775,0,0,2,2,0,sintetico
0217IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0488,Aceite,49.0,2.0,0.8,50.2,0.0157,0,0,1,3,0,sintetico
0329CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0933,"Mermelada, mantequilla",17.0,8.0,4.34,20.66,0.1736,0,0,0,4,0,sintetico
SINT0206,Limpieza,0.0,8.0,10.06,-2.06,1.2575,0,0,3,2,1,sintetico
SINT0530,Lacteos,35.0,0.0,0.52,34.48,0.0149,0,0,4,4,0,sintetico
0344FI,Fideos,77.0,31.0,66.0,42.0,0.6111111111111112,1,0,11,14,0,real
0150CR,Cereal,5.0,0.0,0.0,5.0,0.0,0,0,0,0,0,real
0364IN,Infusion,8.0,0.0,0.0,8.0,0.0,0,0,0,0,0,real
0085ME,Menestras,26.0,3.0,19.0,10.0,0.6551724137931034,0,1,8,2,0,real
0050ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0473SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0158CR,Cereal,4.0,0.0,0.0,4.0,0.0,0,0,0,0,1,real
SINT0485,Snacks,29.0,6.0,1.76,33.24,0.0503,0,0,4,3,0,sintetico
SINT0416,Infusion,39.0,5.0,4.17,39.83,0.0948,0,1,4,5,0,sintetico
SINT0311,Limpieza,3.0,5.0,7.15,0.85,0.8938,0,0,4,4,1,sintetico
SINT0571,Menestras,17.0,0.0,0.5,16.5,0.0294,0,0,3,3,0,sintetico
0506AV,Aves,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0182CR,Cereal,6.0,0.0,0.0,6.0,0.0,0,0,0,0,0,real
SINT0936,Menestras,18.0,4.0,3.61,18.39,0.1641,0,1,5,4,0,sintetico
SINT0881,Menestras,15.0,0.0,0.08,14.92,0.0053,0,0,5,6,0,sintetico
SINT0591,Limpieza,42.0,4.0,2.05,43.95,0.0446,0,0,1,3,0,sintetico
0534VA,Vacuno,0.0,2.6100000000000003,0.0,2.6100000000000003,0.0,0,0,0,4,1,real
0349FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0533,Cereal,15.0,0.0,0.18,14.82,0.012,0,1,4,5,0,sintetico
SINT0747,"Condimentos, Salsas, cremas",6.0,7.0,4.35,8.79,0.331,0,0,2,5,0,sintetico
0591LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0529,Cerdo,33.0,6.0,2.77,36.23,0.071,0,0,4,3,0,sintetico
SINT0689,Harina,41.0,6.0,4.54,42.46,0.0966,0,0,7,7,0,sintetico
SINT0554,Cerdo,8.0,0.0,0.31,7.99,0.0374,0,0,3,2,0,sintetico
0246HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0268,"Condimentos, Salsas, cremas",0.0,8.0,12.0,-4.0,1.5,0,0,5,4,1,sintetico
0315CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0439FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0702,"Gelatina, postres",14.0,0.0,0.79,12.77,0.0583,0,1,3,4,0,sintetico
SINT0207,Azucar,0.0,5.0,13.75,-8.75,2.75,0,0,6,0,1,sintetico
0310CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0434MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0374IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0572LI,Limpieza,0.0,1.0,0.0,1.0,0.0,0,1,0,1,1,real
SINT0101,Harina,0.0,2.0,2.78,-0.78,1.39,0,0,3,2,1,sintetico
0184CR,Cereal,1.0,4.0,0.0,5.0,0.0,0,0,0,1,0,real
SINT0625,Instantaneo,49.0,0.0,0.89,48.11,0.0182,0,1,2,3,0,sintetico
0597LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0021,Limpieza,6.0,7.0,9.64,3.68,0.7236,0,0,2,2,1,sintetico
SINT0772,"Condimentos, Salsas, cremas",8.0,0.0,1.1,6.9,0.1375,0,1,4,3,0,sintetico
0299CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0657LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0466SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0832,Limpieza,48.0,3.0,2.32,48.68,0.0455,0,1,4,1,0,sintetico
SINT0355,Harina,0.0,1.0,3.2,-2.2,3.2,1,0,3,1,1,sintetico
0381IN,Infusion,6.0,0.0,0.0,6.0,0.0,0,0,0,0,0,real
SINT0388,Aceite,0.0,8.0,19.35,-11.35,2.4188,0,0,3,4,1,sintetico
0129CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0544,Limpieza,44.0,0.0,1.74,42.26,0.0395,0,0,2,6,0,sintetico
SINT0142,Infusion,0.0,3.0,3.79,-0.79,1.2633,0,0,3,6,1,sintetico
0359FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0658,Harina,19.0,0.0,1.41,17.59,0.0742,0,1,4,4,0,sintetico
0212IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0143CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0551,Lacteos,14.0,1.0,0.34,14.33,0.0232,0,0,0,2,0,sintetico
SINT0970,Menestras,2.0,7.0,2.62,6.31,0.2934,0,0,4,5,0,sintetico
SINT0643,"Condimentos, Salsas, cremas",7.0,5.0,2.4,9.6,0.2,0,0,0,4,0,sintetico
