codigo_articulo,categoria,existencias_iniciales,total_entradas,total_salidas,existencias_actuales,tasa_rotacion,tiene_precio,tiene_proveedor,frecuencia_salidas,frecuencia_entradas,necesita_reposicion,origen,nombre_producto,presentacion,unidad_medida,categoria_general,es_producto
0602LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Limpiador Multiusos Antibacteria 900 ml,900 ml,unidad,Limpieza e higiene,True
SINT0739,Limpieza,33.0,3.0,0.7,35.3,0.0194,0,0,2,4,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0199AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Miel 500,,kg,Abarrotes,True
SINT0809,Fideos,7.0,5.0,2.18,9.8,0.182,0,0,1,2,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0982,Aceite,16.0,0.0,0.96,15.04,0.06,0,0,1,3,0,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
SINT0293,"Condimentos, Salsas, cremas",2.0,1.0,1.94,1.06,0.6467,0,0,3,0,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0083ME,Menestras,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,real,Trigo 10 kg,10 kg,kg,Menestras,True
SINT0719,Menestras,34.0,2.0,1.44,34.56,0.04,0,1,2,8,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0386,Menestras,0.0,5.0,7.66,-2.66,1.532,0,0,3,2,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0180,"Condimentos, Salsas, cremas",0.0,0.0,0.95,-0.95,0.0,0,0,4,3,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0137,Aves,4.0,0.0,0.46,3.95,0.1044,0,0,2,1,1,sintetico,Registro técnico (sin descripción),,kg,Avícolas,False
0384IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Variadas 100 und,100 und,caja,Bebidas e infusiones,True
0114AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Registro técnico (sin descripción),,litro,Abarrotes,False
SINT0735,Limpieza,28.0,0.0,0.21,27.79,0.0075,0,0,3,4,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0510,Limpieza,10.0,3.0,1.42,12.0,0.1058,0,1,1,2,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0205,Limpieza,4.0,4.0,4.65,3.54,0.5678,0,0,7,1,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0549VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Cuadril,,kg,Cárnicos y pescados,True
SINT0953,Limpieza,30.0,5.0,3.83,31.17,0.1094,0,0,4,8,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0896,Aves,31.0,6.0,5.23,31.77,0.1414,0,0,5,3,0,sintetico,Registro técnico (sin descripción),,kg,Avícolas,False
SINT0867,Cerdo,26.0,6.0,2.39,29.61,0.0747,0,0,3,2,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0340,Infusion,0.0,4.0,8.39,-4.39,2.0975,0,0,1,0,1,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
0312CN,"Condimentos, Salsas, cremas",3.0,0.0,0.0,3.0,0.0,0,1,0,0,1,real,Clavo de olor kl,,unidad,Abarrotes,True
SINT0868,Snacks,10.0,0.0,2.34,7.17,0.246,1,1,3,1,0,sintetico,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
SINT0456,Infusion,29.0,2.0,1.14,29.86,0.0368,0,0,1,3,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0186,Lacteos,0.0,4.0,8.96,-4.96,2.24,0,1,2,2,1,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
SINT0368,Menestras,0.0,5.0,11.03,-6.03,2.206,0,0,7,2,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0456SN,Snacks,10.0,7.0,0.0,17.0,0.0,0,0,0,2,0,real,Paneton,,paquete,Snacks y dulces,True
SINT0964,Limpieza,3.0,6.0,2.05,6.95,0.2278,0,1,1,4,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0596LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Quita mancha en polvo pequeño,,unidad,Limpieza e higiene,True
SINT0999,Aves,9.0,7.0,5.24,10.76,0.3275,0,0,2,3,0,sintetico,Registro técnico (sin descripción),,kg,Avícolas,False
0491PE,Pescado,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0648,Infusion,41.0,8.0,5.15,43.85,0.1051,0,0,3,5,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0458,"Gelatina, postres",33.0,2.0,1.14,33.86,0.0326,0,0,4,2,0,sintetico,Registro técnico (sin descripción),,unidad,Snacks y dulces,False
SINT0417,Azucar,22.0,0.0,0.57,21.43,0.0259,0,0,3,5,0,sintetico,Registro técnico (sin descripción),,kg,Abarrotes,False
SINT0652,Vacuno,49.0,5.0,4.36,49.64,0.0807,0,1,1,2,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0557VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Tomahook de carne,,kg,Cárnicos y pescados,True
SINT0190,Limpieza,0.0,0.0,0.74,-0.74,0.0,0,0,6,0,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0345,Harina,0.0,3.0,7.11,-4.11,2.37,0,0,5,2,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0626LI,Limpieza,2.0,0.0,0.0,2.0,0.0,0,0,0,0,1,real,Lavavajilla 4 lt,4 lt,unidad,Limpieza e higiene,True
SINT0894,Frutos secos,50.0,6.0,3.86,52.14,0.0689,0,0,1,2,0,sintetico,Registro técnico (sin descripción),,kg,Snacks y dulces,False
SINT0703,Menestras,12.0,0.0,1.21,10.5,0.1033,0,0,4,3,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0265,Aceite,4.0,3.0,4.04,3.21,0.5573,0,0,5,2,1,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
SINT0884,Cerdo,8.0,0.0,2.17,5.83,0.2712,1,0,2,4,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0650,Vacuno,9.0,0.0,0.12,9.33,0.0127,0,0,4,5,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0126,Lacteos,0.0,4.0,6.13,-2.13,1.5325,0,0,3,2,1,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
0330CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Registro técnico (sin descripción),,unidad,Abarrotes,False
0257HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Bicarbonato,,kg,Cereales y farináceos,True
SINT0589,Menestras,13.0,0.0,1.25,12.18,0.0931,1,0,2,3,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0910,Limpieza,41.0,5.0,2.74,43.26,0.0596,0,0,3,3,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0476HU,Huevos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Huevo doble yema,,unidad,Avícolas,True
0325CN,"Condimentos, Salsas, cremas",5.0,0.0,0.0,5.0,0.0,0,1,0,0,0,real,Curcuma 250,,unidad,Abarrotes,True
SINT0036,"Condimentos, Salsas, cremas",0.0,3.0,2.82,0.18,0.94,0,1,5,0,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0825,Cereal,23.0,3.0,2.88,23.12,0.1108,0,0,5,3,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0843,Snacks,12.0,11.0,2.5,20.5,0.1087,0,0,2,6,0,sintetico,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
SINT0814,Menestras,10.0,2.0,1.71,10.29,0.1425,0,0,3,1,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0727,Instantaneo,12.0,0.0,1.16,11.3,0.0931,0,1,5,3,0,sintetico,Registro técnico (sin descripción),,unidad,Bebidas e infusiones,False
0640LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Soda Caustica 1 lt,1 lt,unidad,Limpieza e higiene,True
0180CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Hojuela de Maiz 500,,kg,Cereales y farináceos,True
SINT0684,Menestras,47.0,0.0,0.65,46.35,0.0138,0,0,2,5,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0229,Harina,0.0,0.0,1.06,-1.06,0.0,0,0,4,4,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0040,Limpieza,0.0,3.0,8.19,-5.19,2.73,0,0,5,1,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0088ME,Menestras,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,real,Pop corn 5 kg,5 kg,kg,Menestras,True
SINT0483,Harina,47.0,4.0,1.44,49.56,0.0282,0,0,2,2,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0052,Frutos secos,0.0,5.0,7.79,-2.79,1.558,0,0,3,2,1,sintetico,Registro técnico (sin descripción),,kg,Snacks y dulces,False
SINT0476,Fideos,27.0,6.0,2.51,30.49,0.0761,0,1,3,4,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0369IN,Infusion,18.0,0.0,0.0,18.0,0.0,0,0,0,0,0,real,Anis 25 und,25 und,caja,Bebidas e infusiones,True
SINT0121,Fideos,10.0,7.0,13.5,3.44,0.7971,0,0,8,2,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0155,Menestras,0.0,5.0,6.19,-1.19,1.238,1,0,4,2,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0268CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Sal rosada 1 kg,1 kg,unidad,Abarrotes,True
0290CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Mezcla para apanar 96 gr,96 gr,unidad,Abarrotes,True
SINT0871,Vacuno,42.0,3.0,2.62,42.38,0.0582,0,0,3,2,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0362FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0056ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Pallar BB 5 kl,5 kg,kg,Menestras,True
SINT0452,"Gelatina, postres",28.0,4.0,2.02,29.98,0.0631,0,0,3,2,0,sintetico,Registro técnico (sin descripción),,unidad,Snacks y dulces,False
SINT0019,Menestras,0.0,0.0,0.22,-0.22,0.0,0,0,4,4,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0453,Limpieza,47.0,3.0,2.42,47.58,0.0484,0,0,2,6,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0566,Aves,19.0,7.0,3.56,22.44,0.1369,0,0,1,3,0,sintetico,Registro técnico (sin descripción),,kg,Avícolas,False
SINT0699,Limpieza,0.0,7.0,1.96,5.04,0.28,0,1,1,3,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0532VA,Vacuno,27.0,0.0,13.0,14.0,0.4814814814814814,0,1,3,0,0,real,Guiso,,kg,Cárnicos y pescados,True
SINT0297,Menestras,0.0,4.0,10.69,-6.69,2.6725,0,0,6,2,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0224IN,Instantaneo,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,real,Polvo Instantaneo Tarwi 200 gr,200 gr,unidad,Bebidas e infusiones,True
0116CO,Conserva,1.0,19.0,44.0,-24.0,2.2,1,1,3,5,1,real,Filete de atun aceite lata,lata,lata,Conservas,True
SINT0567,Cereal,5.0,0.0,0.07,5.4,0.0128,0,0,2,3,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0538VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Anticucho dr res 1/2 kg,2 kg,kg,Cárnicos y pescados,True
SINT0725,"Gelatina, postres",35.0,8.0,3.11,39.89,0.0723,0,0,4,3,0,sintetico,Registro técnico (sin descripción),,unidad,Snacks y dulces,False
SINT0312,Limpieza,3.0,0.0,1.37,1.63,0.4567,0,0,6,3,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0177CR,Cereal,5.0,0.0,0.0,5.0,0.0,0,0,0,0,0,real,Maizena de 5 kg,5 kg,kg,Cereales y farináceos,True
SINT0952,Lacteos,19.0,2.0,2.85,18.15,0.1357,0,0,3,3,0,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
SINT0480,"Condimentos, Salsas, cremas",9.0,0.0,0.99,8.01,0.11,0,0,6,3,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0019ME,Menestras,5.0,0.0,0.0,5.0,0.0,0,1,0,0,0,real,Frejol Castilla 5 kl,5 kg,kg,Menestras,True
0427MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Mantequilla de mani 200 gr,200 gr,unidad,Abarrotes,True
SINT0582,Cerdo,4.0,4.0,2.3,5.46,0.2964,0,0,4,4,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0288CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Vinagre balsamico 900 ml,900 ml,unidad,Abarrotes,True
SINT0864,Fideos,17.0,5.0,2.68,19.32,0.1218,0,0,5,4,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0432MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Miel de caña azucar,,unidad,Abarrotes,True
SINT0175,Menestras,0.0,2.0,5.34,-3.34,2.67,0,0,4,4,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0994,Harina,38.0,5.0,2.88,40.12,0.067,0,0,1,2,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0032ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Garbanzo 5 kg,5 kg,kg,Menestras,True
0685CUP,Cuidado Personal,0.0,1.0,0.0,1.0,0.0,1,0,0,1,1,real,Jabon liquido antibacterial 800 ml,800 ml,unidad,Limpieza e higiene,True
SINT0421,Limpieza,19.0,9.0,2.17,25.83,0.0775,0,0,2,2,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0217IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Café granos 500 gr,500 gr,unidad,Bebidas e infusiones,True
SINT0488,Aceite,49.0,2.0,0.8,50.2,0.0157,0,0,1,3,0,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
0329CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0933,"Mermelada, mantequilla",17.0,8.0,4.34,20.66,0.1736,0,0,0,4,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0206,Limpieza,0.0,8.0,10.06,-2.06,1.2575,0,0,3,2,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0530,Lacteos,35.0,0.0,0.52,34.48,0.0149,0,0,4,4,0,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
0344FI,Fideos,77.0,31.0,66.0,42.0,0.6111111111111112,1,0,11,14,0,real,Fideos largos 500 gr,500 gr,kg,Cereales y farináceos,True
0150CR,Cereal,5.0,0.0,0.0,5.0,0.0,0,0,0,0,0,real,Avena 5 kl,5 kg,kg,Cereales y farináceos,True
0364IN,Infusion,8.0,0.0,0.0,8.0,0.0,0,0,0,0,0,real,Manzanilla 100 und,100 und,caja,Bebidas e infusiones,True
0085ME,Menestras,26.0,3.0,19.0,10.0,0.6551724137931034,0,1,8,2,0,real,Semola 200 gr,200 gr,kg,Menestras,True
0050ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Moron partido 500 gr,500 gr,kg,Menestras,True
0473SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
0158CR,Cereal,4.0,0.0,0.0,4.0,0.0,0,0,0,0,1,real,Arroz 500 gr,500 gr,kg,Cereales y farináceos,True
SINT0485,Snacks,29.0,6.0,1.76,33.24,0.0503,0,0,4,3,0,sintetico,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
SINT0416,Infusion,39.0,5.0,4.17,39.83,0.0948,0,1,4,5,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0311,Limpieza,3.0,5.0,7.15,0.85,0.8938,0,0,4,4,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0571,Menestras,17.0,0.0,0.5,16.5,0.0294,0,0,3,3,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0506AV,Aves,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Enrollado de pollo,,kg,Avícolas,True
0182CR,Cereal,6.0,0.0,0.0,6.0,0.0,0,0,0,0,0,real,Arroz 25 kg,25 kg,kg,Cereales y farináceos,True
SINT0936,Menestras,18.0,4.0,3.61,18.39,0.1641,0,1,5,4,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0881,Menestras,15.0,0.0,0.08,14.92,0.0053,0,0,5,6,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0591,Limpieza,42.0,4.0,2.05,43.95,0.0446,0,0,1,3,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0534VA,Vacuno,0.0,2.6100000000000003,0.0,2.6100000000000003,0.0,0,0,0,4,1,real,Punta de pecho,,kg,Cárnicos y pescados,True
0349FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Fideos cortos 1 kg,1 kg,kg,Cereales y farináceos,True
SINT0533,Cereal,15.0,0.0,0.18,14.82,0.012,0,1,4,5,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0747,"Condimentos, Salsas, cremas",6.0,7.0,4.35,8.79,0.331,0,0,2,5,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0591LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Lejía líquida 20 lt,20 lt,unidad,Limpieza e higiene,True
SINT0529,Cerdo,33.0,6.0,2.77,36.23,0.071,0,0,4,3,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0689,Harina,41.0,6.0,4.54,42.46,0.0966,0,0,7,7,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0554,Cerdo,8.0,0.0,0.31,7.99,0.0374,0,0,3,2,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0246HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Harina de haba 200 gr,200 gr,kg,Cereales y farináceos,True
SINT0268,"Condimentos, Salsas, cremas",0.0,8.0,12.0,-4.0,1.5,0,0,5,4,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0315CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,TOMILLO,,unidad,Abarrotes,True
0439FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Pasas Rubias,,kg,Snacks y dulces,True
SINT0702,"Gelatina, postres",14.0,0.0,0.79,12.77,0.0583,0,1,3,4,0,sintetico,Registro técnico (sin descripción),,unidad,Snacks y dulces,False
SINT0207,Azucar,0.0,5.0,13.75,-8.75,2.75,0,0,6,0,1,sintetico,Registro técnico (sin descripción),,kg,Abarrotes,False
0310CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,OREGANO ENTERO SECO,,unidad,Abarrotes,True
0434MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,unidad,Abarrotes,False
0374IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Flor jamaica 100 und,100 und,caja,Bebidas e infusiones,True
0572LI,Limpieza,0.0,1.0,0.0,1.0,0.0,0,1,0,1,1,real,Detergente líquido 2 L,2 lt,unidad,Limpieza e higiene,True
SINT0101,Harina,0.0,2.0,2.78,-0.78,1.39,0,0,3,2,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0184CR,Cereal,1.0,4.0,0.0,5.0,0.0,0,0,0,1,0,real,Salvado de trigo 500 gr,500 gr,kg,Cereales y farináceos,True
SINT0625,Instantaneo,49.0,0.0,0.89,48.11,0.0182,0,1,2,3,0,sintetico,Registro técnico (sin descripción),,unidad,Bebidas e infusiones,False
0597LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Quita mancha en polvo grabde,,unidad,Limpieza e higiene,True
SINT0021,Limpieza,6.0,7.0,9.64,3.68,0.7236,0,0,2,2,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0772,"Condimentos, Salsas, cremas",8.0,0.0,1.1,6.9,0.1375,0,1,4,3,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0299CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,AJI PAPRIKA,,unidad,Abarrotes,True
0657LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Papel absorvenre rollo,,unidad,Limpieza e higiene,True
0466SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
SINT0832,Limpieza,48.0,3.0,2.32,48.68,0.0455,0,1,4,1,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0355,Harina,0.0,1.0,3.2,-2.2,3.2,1,0,3,1,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0381IN,Infusion,6.0,0.0,0.0,6.0,0.0,0,0,0,0,0,real,Coca 25 und,25 und,caja,Bebidas e infusiones,True
SINT0388,Aceite,0.0,8.0,19.35,-11.35,2.4188,0,0,3,4,1,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
0129CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Cocktail de fruta 820 gr,820 gr,lata,Conservas,True
SINT0544,Limpieza,44.0,0.0,1.74,42.26,0.0395,0,0,2,6,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0142,Infusion,0.0,3.0,3.79,-0.79,1.2633,0,0,3,6,1,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
0359FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0658,Harina,19.0,0.0,1.41,17.59,0.0742,0,1,4,4,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0212IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Chocolate Instantaneo 550 gr,550 gr,unidad,Bebidas e infusiones,True
0143CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,lata,Conservas,False
SINT0551,Lacteos,14.0,1.0,0.34,14.33,0.0232,0,0,0,2,0,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
SINT0970,Menestras,2.0,7.0,2.62,6.31,0.2934,0,0,4,5,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0643,"Condimentos, Salsas, cremas",7.0,5.0,2.4,9.6,0.2,0,0,0,4,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0469,Lacteos,10.0,3.0,1.24,11.76,0.0954,0,0,2,3,0,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
SINT0633,Limpieza,44.0,6.0,0.88,49.12,0.0176,0,1,2,2,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0439,Menestras,22.0,4.0,2.34,23.66,0.09,0,0,4,3,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0854,Huevos,46.0,2.0,1.13,46.87,0.0235,0,0,2,4,0,sintetico,Registro técnico (sin descripción),,unidad,Avícolas,False
0634LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Limpiador de crema multiusos,,unidad,Limpieza e higiene,True
0623LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Lavavajilla 500 ml,500 ml,unidad,Limpieza e higiene,True
0011ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Frejol Caballero 5 kg,5 kg,kg,Menestras,True
SINT0877,Harina,4.0,3.0,1.51,5.49,0.2157,0,0,1,4,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0285CN,"Condimentos, Salsas, cremas",4.0,0.0,0.0,4.0,0.0,0,0,0,0,1,real,Vinagre tinto 1 lt,1 lt,unidad,Abarrotes,True
0294CN,"Condimentos, Salsas, cremas",0.0,0.0,38.0,-38.0,0.0,0,0,22,0,1,real,Salsa de tomate 290 gr,290 gr,unidad,Abarrotes,True
SINT0737,Infusion,34.0,0.0,1.97,32.03,0.0579,0,0,3,5,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
0625LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Lavavajilla 2 lt,2 lt,unidad,Limpieza e higiene,True
0132CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Conserva arverjita 425 gr,425 gr,lata,Conservas,True
0326CN,"Condimentos, Salsas, cremas",5.0,0.0,2.0,3.0,0.4,0,1,2,0,1,real,Curcuma 500,,unidad,Abarrotes,True
SINT0649,Cereal,23.0,4.0,2.04,24.96,0.0756,0,0,2,2,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0613LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Desengrasante líquido 1 Lt,1 lt,unidad,Limpieza e higiene,True
SINT0899,Vacuno,15.0,2.0,1.97,14.58,0.119,1,0,5,2,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0824,"Mermelada, mantequilla",50.0,4.0,2.0,52.0,0.037,0,0,2,4,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0635LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Protecrtir de madera,,unidad,Limpieza e higiene,True
SINT0878,Infusion,38.0,6.0,3.06,40.94,0.0695,0,0,4,4,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0655,Limpieza,6.0,0.0,0.73,5.49,0.1173,1,1,6,2,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
