codigo_articulo,nombre_producto,presentacion,unidad_medida,categoria,categoria_general,origen,es_producto
SINT0668,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0320,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0455,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0563LI,Detergente en polvo 2 Kg,2 kg,unidad,Limpieza,Limpieza e higiene,real,True
0334GE,Gelatina 5 kg,5 kg,unidad,"Gelatina, postres",Snacks y dulces,real,True
0540VA,Higado de res 500 gr,500 gr,kg,Vacuno,Cárnicos y pescados,real,True
SINT0173,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0741,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0897,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0624LI,Lavavajilla 1 lt,1 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0800,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0008,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
0489PE,Registro técnico (sin descripción),,kg,Pescado,Cárnicos y pescados,real,False
SINT0931,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
SINT0218,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0211,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0847,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0134,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
0229IN,Chocolisto marshmallow 150,,unidad,Instantaneo,Bebidas e infusiones,real,True
0234HA,Harina s/preparar 180 gr,180 gr,kg,Harina,Cereales y farináceos,real,True
0656LI,Papel toalla rollo,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0766,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0788,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0166CR,Cereal 450 gr caja,450 gr,kg,Cereal,Cereales y farináceos,real,True
0431MR,Cirope miel de maple,,unidad,"Mermelada, mantequilla",Abarrotes,real,True
SINT0096,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0269CN,Sal Maras 500 gr,500 gr,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0151CR,Avena 10 kl,10 kg,kg,Cereal,Cereales y farináceos,real,True
0429MR,Crema de avellana 200,,unidad,"Mermelada, mantequilla",Abarrotes,real,True
SINT0786,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0605LI,Limpiador Multiusos Antibacteria 5 Lt,5 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0374,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0308CN,PALILLO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0195AZ,Azucar Impalpable 1kg,1 kg,kg,Azucar,Abarrotes,real,True
0311CN,ESCENCIA DE VAINILLA,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0608LI,Desinfectante en aerosol 360 ml,360 ml,unidad,Limpieza,Limpieza e higiene,real,True
0065ME,Quinua 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0514,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0614,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0056,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0950,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0472,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0398LA,Leche 900 ml caja,900 ml,lata,Lacteos,Lácteos,real,True
SINT0381,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0387IN,Te verde saborizado 25,,caja,Infusion,Bebidas e infusiones,real,True
SINT0882,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0221IN,Milo 700 gr lata,700 gr,unidad,Instantaneo,Bebidas e infusiones,real,True
0599LI,Jabon ropa barra,,unidad,Limpieza,Limpieza e higiene,real,True
0289CN,Polvo curcuma 25 gr,25 gr,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0484PE,Filete de tilapa x 1kg (04 caja x10 kg),1 kg,kg,Pescado,Cárnicos y pescados,real,True
SINT0624,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0550VA,Fibe ancho,,kg,Vacuno,Cárnicos y pescados,real,True
0365IN,Te 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0986,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0402,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0106,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0414,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0203,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0579,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0376,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0580,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
0589LI,Lejía líquida 5 lt,5 lt,unidad,Limpieza,Limpieza e higiene,real,True
0660LI,Limpiador de porcelanato 4 lt,4 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0861,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0620LI,Lavavajilla 800gr pote,800 gr,unidad,Limpieza,Limpieza e higiene,real,True
SINT0167,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0816,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0561LI,Detergente en polvo 500 g,500 gr,unidad,Limpieza,Limpieza e higiene,real,True
SINT0245,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
SINT0169,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0799,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0600,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0582LI,Suavizante de ropa 2 L,2 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0680,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0375,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0434,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0280CN,Caldo Maggi gallina,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0909,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0592,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0426,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0408,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0239HA,Chuño 180 gr,180 gr,kg,Harina,Cereales y farináceos,real,True
SINT0010,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0123,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0273,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0694,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0014,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0443,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0211IN,Polvo de cacao 200gr,200 gr,unidad,Instantaneo,Bebidas e infusiones,real,True
SINT0863,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0283,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0533VA,Guiso especial,,kg,Vacuno,Cárnicos y pescados,real,True
0060ME,Papa Seca 5 kg,5 kg,kg,Menestras,Menestras,real,True
SINT0362,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0663,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0567LI,Detergente en polvo 14 kg,14 kg,unidad,Limpieza,Limpieza e higiene,real,True
SINT0350,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0850,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0367IN,Te canela 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0802,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
0358FI,Fideos largos 10 kl,10 kg,kg,Fideos,Cereales y farináceos,real,True
SINT0827,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0419,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0812,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0830,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0032,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0295CN,Salsa de tomate 400 gr,400 gr,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0542,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0616,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0594LI,Lejía líquida color 2 lt,2 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0532,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0835,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0560VA,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,real,False
0236HA,Harina preparada 180 gr,180 gr,kg,Harina,Cereales y farináceos,real,True
0602LI,Limpiador Multiusos Antibacteria 900 ml,900 ml,unidad,Limpieza,Limpieza e higiene,real,True
SINT0739,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0199AZ,Miel 500,,kg,Azucar,Abarrotes,real,True
SINT0809,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0982,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0293,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0083ME,Trigo 10 kg,10 kg,kg,Menestras,Menestras,real,True
SINT0719,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0386,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0180,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0137,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0384IN,Variadas 100 und,100 und,caja,Infusion,Bebidas e infusiones,real,True
0114AC,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,real,False
SINT0735,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0510,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0205,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0549VA,Cuadril,,kg,Vacuno,Cárnicos y pescados,real,True
SINT0953,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0896,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0867,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0340,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0312CN,Clavo de olor kl,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0868,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0456,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0186,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0368,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0456SN,Paneton,,paquete,Snacks,Snacks y dulces,real,True
SINT0964,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0596LI,Quita mancha en polvo pequeño,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0999,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0491PE,Registro técnico (sin descripción),,kg,Pescado,Cárnicos y pescados,real,False
SINT0648,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0458,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
SINT0417,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0652,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0557VA,Tomahook de carne,,kg,Vacuno,Cárnicos y pescados,real,True
SINT0190,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0345,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0626LI,Lavavajilla 4 lt,4 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0894,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
SINT0703,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0265,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0884,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0650,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0126,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0330CN,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,False
0257HA,Bicarbonato,,kg,Harina,Cereales y farináceos,real,True
SINT0589,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0910,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0476HU,Huevo doble yema,,unidad,Huevos,Avícolas,real,True
0325CN,Curcuma 250,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0036,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0825,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0843,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0814,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0727,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0640LI,Soda Caustica 1 lt,1 lt,unidad,Limpieza,Limpieza e higiene,real,True
0180CR,Hojuela de Maiz 500,,kg,Cereal,Cereales y farináceos,real,True
SINT0684,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0229,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0040,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0088ME,Pop corn 5 kg,5 kg,kg,Menestras,Menestras,real,True
SINT0483,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0052,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
SINT0476,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0369IN,Anis 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0121,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0155,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0268CN,Sal rosada 1 kg,1 kg,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0290CN,Mezcla para apanar 96 gr,96 gr,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0871,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0362FI,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,real,False
0056ME,Pallar BB 5 kl,5 kg,kg,Menestras,Menestras,real,True
SINT0452,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
SINT0019,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0453,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0566,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0699,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0532VA,Guiso,,kg,Vacuno,Cárnicos y pescados,real,True
SINT0297,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0224IN,Polvo Instantaneo Tarwi 200 gr,200 gr,unidad,Instantaneo,Bebidas e infusiones,real,True
0116CO,Filete de atun aceite lata,lata,lata,Conserva,Conservas,real,True
SINT0567,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0538VA,Anticucho dr res 1/2 kg,2 kg,kg,Vacuno,Cárnicos y pescados,real,True
SINT0725,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
SINT0312,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0177CR,Maizena de 5 kg,5 kg,kg,Cereal,Cereales y farináceos,real,True
SINT0952,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0480,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0019ME,Frejol Castilla 5 kl,5 kg,kg,Menestras,Menestras,real,True
0427MR,Mantequilla de mani 200 gr,200 gr,unidad,"Mermelada, mantequilla",Abarrotes,real,True
SINT0582,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
0288CN,Vinagre balsamico 900 ml,900 ml,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0864,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0432MR,Miel de caña azucar,,unidad,"Mermelada, mantequilla",Abarrotes,real,True
SINT0175,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0994,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0032ME,Garbanzo 5 kg,5 kg,kg,Menestras,Menestras,real,True
0685CUP,Jabon liquido antibacterial 800 ml,800 ml,unidad,Cuidado Personal,Limpieza e higiene,real,True
SINT0421,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0217IN,Café granos 500 gr,500 gr,unidad,Instantaneo,Bebidas e infusiones,real,True
SINT0488,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0329CN,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,False
SINT0933,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0206,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0530,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0344FI,Fideos largos 500 gr,500 gr,kg,Fideos,Cereales y farináceos,real,True
0150CR,Avena 5 kl,5 kg,kg,Cereal,Cereales y farináceos,real,True
0364IN,Manzanilla 100 und,100 und,caja,Infusion,Bebidas e infusiones,real,True
0085ME,Semola 200 gr,200 gr,kg,Menestras,Menestras,real,True
0050ME,Moron partido 500 gr,500 gr,kg,Menestras,Menestras,real,True
0473SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
0158CR,Arroz 500 gr,500 gr,kg,Cereal,Cereales y farináceos,real,True
SINT0485,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0416,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0311,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0571,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0506AV,Enrollado de pollo,,kg,Aves,Avícolas,real,True
0182CR,Arroz 25 kg,25 kg,kg,Cereal,Cereales y farináceos,real,True
SINT0936,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0881,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0591,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0534VA,Punta de pecho,,kg,Vacuno,Cárnicos y pescados,real,True
0349FI,Fideos cortos 1 kg,1 kg,kg,Fideos,Cereales y farináceos,real,True
SINT0533,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0747,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0591LI,Lejía líquida 20 lt,20 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0529,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0689,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0554,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
0246HA,Harina de haba 200 gr,200 gr,kg,Harina,Cereales y farináceos,real,True
SINT0268,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0315CN,TOMILLO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0439FS,Pasas Rubias,,kg,Frutos secos,Snacks y dulces,real,True
SINT0702,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
SINT0207,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
0310CN,OREGANO ENTERO SECO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0434MR,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,real,False
0374IN,Flor jamaica 100 und,100 und,caja,Infusion,Bebidas e infusiones,real,True
0572LI,Detergente líquido 2 L,2 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0101,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0184CR,Salvado de trigo 500 gr,500 gr,kg,Cereal,Cereales y farináceos,real,True
SINT0625,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0597LI,Quita mancha en polvo grabde,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0021,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0772,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0299CN,AJI PAPRIKA,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0657LI,Papel absorvenre rollo,,unidad,Limpieza,Limpieza e higiene,real,True
0466SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
SINT0832,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0355,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0381IN,Coca 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0388,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0129CO,Cocktail de fruta 820 gr,820 gr,lata,Conserva,Conservas,real,True
SINT0544,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0142,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0359FI,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,real,False
SINT0658,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0212IN,Chocolate Instantaneo 550 gr,550 gr,unidad,Instantaneo,Bebidas e infusiones,real,True
0143CO,Registro técnico (sin descripción),,lata,Conserva,Conservas,real,False
SINT0551,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0970,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0643,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0469,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0633,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0439,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0854,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,sintetico,False
0634LI,Limpiador de crema multiusos,,unidad,Limpieza,Limpieza e higiene,real,True
0623LI,Lavavajilla 500 ml,500 ml,unidad,Limpieza,Limpieza e higiene,real,True
0011ME,Frejol Caballero 5 kg,5 kg,kg,Menestras,Menestras,real,True
SINT0877,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0285CN,Vinagre tinto 1 lt,1 lt,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0294CN,Salsa de tomate 290 gr,290 gr,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0737,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0625LI,Lavavajilla 2 lt,2 lt,unidad,Limpieza,Limpieza e higiene,real,True
0132CO,Conserva arverjita 425 gr,425 gr,lata,Conserva,Conservas,real,True
0326CN,Curcuma 500,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0649,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0613LI,Desengrasante líquido 1 Lt,1 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0899,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0824,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0635LI,Protecrtir de madera,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0878,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0655,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0161CR,Arroz 10 kg,10 kg,kg,Cereal,Cereales y farináceos,real,True
SINT0621,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0522CE,Bondiola,,kg,Cerdo,Cárnicos y pescados,real,True
SINT0983,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0603LI,Limpiador Multiusos Antibacteria 2 lt,2 lt,unidad,Limpieza,Limpieza e higiene,real,True
0198AZ,Miel 300 gr,300 gr,kg,Azucar,Abarrotes,real,True
SINT0957,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0147,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0414LA,Yogurt 120g bebible,120 gr,lata,Lacteos,Lácteos,real,True
0098AC,Aceite de Oliva Virgen200 ml,,litro,Aceite,Abarrotes,real,True
SINT0974,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0905,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
